,source_id_lattes,target_id_lattes,academic_degree,start_year,conclusion_year,course,institution,thesis,major_area,area
1141188,5502499971921144,4746887286206226,mestrado,2000.0,2002,odontologia,universidade paulista,estudo comparativo do estado de saude periodontal de pacientes portadores e não portadores de diabetes melitus dos tipos 1 e 2,ciencias da saude,
305433,10108416,4355020050621609,mestrado,2002.0,2004,medicina psiquiatria,universidade federal do rio grande do sul,incerteza ambigüidade e formação médica estudo comparativo de mensurações da tolerância à ambigüidade e das reações à incerteza em estudantes de medicina da ufrgs,ciencias humanas,educação
52761,7917363740516584,216913180218099,mestrado,2001.0,2001,medicina obstetrícia e ginecologia,universidade de são paulo,estudo comparativo entre laparoscopia e laparotomia quanto à formação e à estrutura de aderências pélvicas pós operatórias em coelhos,ciencias da saude,medicina
96686,400232298849115,4621232662024338,mestrado,,2014,informática,pontifícia universidade católica do rio de janeiro,distant supervision for relation extraction using ontology class hierarchy based features,,
680359,7324869293866597,1397602256989803,mestrado,2007.0,2009,desenvolvimento regional e meio ambiente,universidade federal de rondônia,elementos traço em solos do alto rio madeira rondônia,ciencias exatas e da terra,
1367887,9127588429942310,8042943225979510,mestrado,1996.0,1999,educação,universidade federal do ceará,avaliação da inserção dos egressos dos cursos do senai frente à inserção no mercado de trabalho,ciencias humanas,
701097,1522293867934005,1608654996834533,mestrado,2014.0,2016,ciências biomédicas,universidade estadual de ponta grossa,avaliação laboratorial e monitoração da pressão intracraniana através de um método inovador não invasivo em gestantes,,
884070,2686596980826238,5594741038824242,mestrado,1979.0,1980,educação,universidade federal de minas gerais,habilitação de professores leigos a dissimulação da inocuidade,ciencias humanas,filosofia
958406,3535420886883559,3220867649465606,doutorado,2013.0,2018,filosofia,pontifícia universidade católica do paraná,da natureza à cultura o mito da violência em steven pinker,,
407003,10259712,5309742821778753,mestrado,2015.0,2018,segurança pública justiça e cidadania,universidade federal da bahia,vulnerabilidade juventude e criminalidade o caso do estado de sergipe,ciencias sociais aplicadas,
1294761,6585937888894798,8127024870392432,doutorado,2002.0,2006,agronomia producao vegetal,universidade estadual paulista júlio de mesquita filho,controle biológico de nematóides de galha do cafeeiro com fungos nematófagos,,
806265,2178652705357657,5086464457101058,mestrado,2012.0,2014,meio ambiente e desenvolvimento regional,universidade do oeste paulista,estudo da qualidade da água para consumo humano em assentamentos na região de teodoro sampaio sp,,
571087,10505859,2256814624411750,mestrado,2015.0,2017,acupuntura,libertas faculdades integradas,estudo comparativo entre técnicas de fisioterapia e técnicas de acupuntura em lesões do ombro e manguito rotador,,
973264,4926823018513006,3333366022661114,mestrado,2006.0,2007,música,universidade federal da bahia,coesão e proporções nos improvisos para piano de camargo guarnieri,,
289071,1161483059612467,10084190,mestrado,,2006,odontologia legal e deotologia,faculdade de odontologia de piracicaba,importância dos aspectos odontolegais na violência doméstica,,
718312,1626484708254412,4174989355877715,mestrado,2013.0,2015,ciência dos materiais,universidade federal do piauí,modificação química do polissacarídeo agar obtido a partir de algas vermelhas,,
171954,727435909982933,3037231701554515,mestrado,2009.0,2011,desenvolvimento e meio ambiente,universidade federal do rio grande do norte,a produção de biodiesel no assentamneto canudos rn perspectivas e limites da inclusão social,outros,
1264515,6148848874012153,8055375596734612,mestrado,2008.0,2010,administração pública,universidade de cabo verde,o exercício da ética profissional na administração pública cabo verdiana,,
587754,10530990,3681779110640337,mestrado,1973.0,1980,geografia,universidade federal do rio de janeiro,primazia e acessibilidade um estudo de caso,ciencias humanas,geografia
421908,6460862782566101,10282104,mestrado,,2017,administração,centro universitário das faculdades metropolitanas unidas,a governança corporativa nos fundos de pensão o caso previ ericsson,ciencias sociais aplicadas,
1275353,6302923284671421,6554588528541666,mestrado,1978.0,1980,medicina veterinária parasitologia veterinária,universidade federal rural do rio de janeiro,estudo de infecções experimentais por trypanosoma duttonela vivaxziemann 1905 em animais domésticos ano de obtenção 1980,ciencias biologicas,parasitologia
1292860,6555638052349500,9852217198710064,doutorado,1994.0,1999,tocoginecologia,universidade de são paulo ribeirão preto,distribuição dos valores séricos da alfafetoproteína subunidade beta da gonadotrofina coriônica humana e estriol livre em gestações normais entre 14 e 19 semanas de gravidez na cidade de ribeirão preto sp,ciencias da saude,
273424,2118088882579458,10060770,mestrado,,2016,filosofia,faculdade jesuíta de filosofia e teologia,reconhecimento e reificação um estudo segundo o pensamento de axel honneth,ciencias humanas,
1091852,4293997460142721,9623336278199725,mestrado,1976.0,1978,engenharia de estruturas,universidade de são paulo,silos de madeira,engenharias,
494212,3590884268165249,10391108,doutorado,,1999,engenharia metalúrgica e de minas,universidade federal de minas gerais,biosorption of metals on brown see weeds mechanism and model application,engenharias,
919347,5038152185134297,2941862102205071,mestrado,2012.0,2014,comunicação social,universidade federal de minas gerais,socialidade e modos de subjetivacao experiências musicais de jovens migrantes negros na cidade de cali colômbia,ciencias sociais aplicadas,
961298,3242858535763793,9649605900748579,mestrado,2011.0,2013,alimentos e nutrição,universidade estadual paulista júlio de mesquita filho,desenvolvimento de uma sobremesa probiótica mista de tofu e extrato hidrossolúvel de soja fermentado,,
465482,1264230711024023,10347061,mestrado,,1988,matemática,associação instituto nacional de matemática pura e aplicada,campos vetoriais com folheacões transversais,,
1245919,5906489123903359,7240467434813173,mestrado,2004.0,2006,economia,universidade estadual de maringá,o novo consenso macroeconômico e a política monetária no brasil sob metas de inflação,ciencias sociais aplicadas,
498481,5319908010656500,10397491,mestrado,,2014,programa de pós graduação em zootecnia uem,universidade estadual de maringá,comportamento ingestivo de bovinos terminados em confinamento com a adição de óleos essenciais e glicerina na dieta,ciencias agrarias,
1258364,6280001726178765,6067113437791940,doutorado,2015.0,2019,doutorado em engenharia mecânica,universidade estadual de campinas,caracterização física de partículas de biomassa separadas por elutriação e peneiramento,,
104824,5373594111880302,433556434848403,doutorado,2012.0,2016,ciências veterinárias,universidade federal do paraná,cinética leucocitária e estresse oxidativo relacionados às lesões laminares em cavalos com afecções gastrintestinais,,
1023502,6644218384570051,3727697890896694,mestrado,2010.0,2012,educação,universidade estadual paulista júlio de mesquita filho,olhar tecer des cor pos forças fluxos,,
372670,3913283461109185,10207778,mestrado,,1998,educação,universidade do estado do rio de janeiro,repensando o fracasso escolar através da formação continuada de professores,ciencias humanas,
529781,10444038,7486520808585783,doutorado,1977.0,1988,astronomia,universidade de são paulo,estudo crítico dos ions oh e nh no espaço interestelar e nos cometas,ciencias exatas e da terra,
1248796,5941867047206757,6347825817988231,doutorado,,2006,políticas públicas,universidade federal do maranhão,o plano de eliminação da hanseniase no brasil em questão o entrecruzamento de diferentes olhares,,
13128,50203730237875,8266235603526866,mestrado,2006.0,2008,bioética,centro universitário são camilo campus pompeia,reflexão bioética sobre a relação entre farmacêutico e usuário de medicamentos no ambiente hospitalar,outros,
1086085,4244400828505785,8453577344123473,doutorado,2014.0,2018,química,universidade estadual de ponta grossa,desenvolvimento de plataformas nanoestruturadas para a obtenção de imunossensores eletroquímicos para o diagnóstico de doenças infecciosas humanas,ciencias exatas e da terra,
997652,3518494483020665,7245346847288172,mestrado,2004.0,2007,letras neolatinas,universidade federal do rio de janeiro,o espaço híbrido entre ficção e memória e ficção em julio cortazar,,
325473,10137586,5930436237742180,doutorado,2013.0,2016,doutorado em artes,université paris pantheon sorbonne,o espaço imaterial no cinema de jia zhangke uma política do olhar,linguistica letras e artes,
614940,10572032,6991819307586125,doutorado,2002.0,2006,psicologia,universidade federal do rio grande do sul,o self semiótico desenvolvimento interpretativo da identidade como processo dramático,ciencias humanas,psicologia
361770,10191320,7808081584379389,mestrado,1981.0,1986,clinicas odontologicas,universidade camilo castelo branco,odontologia e a diabete,,
1053924,6571492090892651,3971598714445106,doutorado,2001.0,2005,medicina veterinária hig e proc tecnológico de pro,universidade federal fluminense,bioacumulação de polônio 210 e chumbor 210 em pescado,ciencias agrarias,
549693,10473647,3038625843658528,mestrado,2006.0,2007,direito,universidade de toronto,therapeutic abortion the brazilian case of anencephaly,ciencias sociais aplicadas,
499553,8067501236997504,10399277,mestrado,,2006,engenharia mineral,universidade federal de ouro preto,modelagem tridimensional de depósitos minerais,engenharias,
1390374,9691477236399656,8787305547357692,doutorado,2000.0,2004,medicina gastroenterologia,universidade federal de minas gerais,efeito da erradicação do helicobacter pylori nas concentrações séricas da vitamina b12 e da homocisteína em idosos,ciencias da saude,medicina
983855,3411662870994341,9456592181231970,pos-doutorado,,2009,,embrapa clima temperado,,ciencias agrarias,
20721,84129691000396,8261882846214712,mestrado,2011.0,2013,ciências ambientais,universidade federal da bahia,responsabilidade socioambiental no oeste baiano limites desafios e perspectivas para o agronegócio,outros,
1366865,9265035442880550,8018498634297142,doutorado,2011.0,2015,ensino de ciências modalidade ensino de química,universidade de são paulo,docência universitária a base de conhecimentos para o ensino e o conhecimento pedagógico do conteúdo de um professor do ensino superior,ciencias humanas,
301030,9290548756209369,10102197,mestrado,,2017,mestrado nacional profissional em ensino de física,universidade federal de alagoas,o uso das novas tecnologias na prática experimental do ensino de física o arduino e o visual basic como ferramenta didática para os conteúdos de eletrostática e primeira lei de ohm,ciencias exatas e da terra,
177714,754153713899691,2593620066613335,doutorado,2005.0,2010,psicologia,universidade de são paulo,saúde e afeto na docência a busca incessante pela vida estudo com professores de uma universidade pública,ciencias humanas,
1247104,6379814397024971,5921404460833601,mestrado,2012.0,2014,mestrado em artes,universidade federal do pará,nó de 4 pernas a tessiturqa de uma experiência de teatro multimídia em belém do pará,,
393533,2063766494990571,10239436,mestrado,,2017,mestrado em tecnologia de imunobiológicos,instituto de tecnologia em imunobiológicos,proposta de formulação intranasal para vacina meningocócica c conjugada,ciencias da saude,
749616,9015401653501831,1823487456518271,mestrado,2007.0,2009,educação em ciências e matemática,pucrs,a resolução de problemas matemáticos na 5ª série do ensino fundamental sob uma perspectiva transdisciplinar,ciencias exatas e da terra,
764914,8769804694444711,1920588943669185,mestrado,2002.0,2006,letras língua espanhola e lit espanhola e hispano americ,universidade de são paulo,o casamento enganoso e o colóquio dos cães tradução anotada e estudo preliminar de duas novelas exemplares cervantinas,,
397411,10245040,6377288674588197,mestrado,1972.0,1974,mestrado em física,centro brasileiro de pesquisas físicas,efeito mossbauer em micas irradiadas com eletrons,ciencias exatas e da terra,
